//: name: t12.txt							
//: description: Fully corrected multiplicity distributions. Note that the value of P0 in the 1 to 5 pseudorapidity region is not measured but taken from the reweighted DJANGO 6.0 Monte Carlo generator.							
											
//: keyword reactions: E+ P --> E+ CHGD-HADRONS X							
//: keyword observables: MULT							
//: keyword cmenergies: 0.0							
//: ETARAP(REF=CM)	1 TO 5						
//: M(P=1_2) [GEV]	150 TO 185						
//: Q**2 [GEV**2]	10 TO 1000						
//: RE	E+ P --> E+ CHGD-HADRONS X	
// N      PROB      ERX     ERY
// 0.00   0.00280    0.0008   0.00000
 1.00   0.01090    0.00   0.01038
 2.00   0.02210    0.00   0.00724
 3.00   0.04180    0.00   0.01296
 4.00   0.06610    0.00   0.02093
 5.00   0.08240    0.00   0.01395
 6.00   0.09770    0.00   0.01247
 7.00   0.11040    0.00   0.00949
 8.00   0.10870    0.00   0.00742
 9.00   0.09890    0.00   0.01183
10.00   0.08180    0.00   0.00562
11.00   0.07070    0.00   0.00640
12.00   0.05760    0.00   0.01199
13.00   0.04880    0.00   0.01532
14.00   0.03420    0.00   0.00927
15.00   0.02430    0.00   0.01031
16.00   0.01310    0.00   0.00798
17.00   0.01070    0.00   0.00668
18.00   0.00550    0.00   0.00529
19.00   0.00430    0.00   0.00517
20.00   0.00120    0.00   0.00512
21.00   0.00180    0.00   0.00330
22.00   0.00160    0.00   0.00329
