//: name: t15.txt							
//: description: Fully corrected multiplicity distributions. Note that the value of P0 in the 1 to 4 pseudorapidity region is not measured but taken from the reweighted DJANGO 6.0 Monte Carlo generator.							
											
//: keyword reactions: E+ P --> E+ CHGD-HADRONS X							
//: keyword observables: MULT							
//: keyword cmenergies: 0.0							
//: ETARAP(REF=CM)	1 TO 4						
//: M(P=1_2) [GEV]	185 TO 220						
//: Q**2 [GEV**2]	10 TO 1000						
//: RE	E+ P --> E+ CHGD-HADRONS X	
//
//N      PROB      ERX     ERY
// 0.00   0.01070    0.00   0.02970
 1.00   0.02810    0.00   0.01305
 2.00   0.05220    0.00   0.00797
 3.00   0.06700    0.00   0.00599
 4.00   0.07980    0.00   0.00945
 5.00   0.09180    0.00   0.00672
 6.00   0.09070    0.00   0.00958
 7.00   0.10180    0.00   0.00804
 8.00   0.09100    0.00   0.00794
 9.00   0.07950    0.00   0.01606
10.00   0.07500    0.00   0.01861
11.00   0.06100    0.00   0.00868
12.00   0.04980    0.00   0.01341
13.00   0.03460    0.00   0.00813
14.00   0.02600    0.00   0.00782
15.00   0.02030    0.00   0.00617
16.00   0.01290    0.00   0.00816
17.00   0.01000    0.00   0.00669
18.00   0.00710    0.00   0.00266
19.00   0.00390    0.00   0.00361
20.00   0.00210    0.00   0.00193
21.00   0.00170    0.00   0.00279
22.00   0.00110    0.00   0.00136
